create table Workload (
	Staff_ID VARCHAR(15),
	Task_ID VARCHAR(5),
	TaskDate DATE,
	Shelter_ID VARCHAR(10),
	StartTime VARCHAR(50),
	EndTime VARCHAR(50),
PRIMARY KEY (Staff_ID, Task_ID, TaskDate),
FOREIGN KEY (Staff_ID) REFERENCES Staff(Staff_ID),
FOREIGN KEY (Task_ID) REFERENCES Task(Task_ID),
FOREIGN KEY (Shelter_ID) REFERENCES Shelter(Shelter_ID)
);

insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S36', 'T16', '02-May-2019', 'SH-05', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S30', 'T19', '10-Jul-2017', 'SH-10', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S24', 'T05', '28-Jun-2017', 'SH-01', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S10', 'T20', '24-Jul-2019', 'SH-03', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S22', 'T08', '21-Jul-2019', 'SH-07', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S18', 'T18', '11-May-2018', 'SH-04', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S28', 'T12', '28-Nov-2017', 'SH-01', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S31', 'T02', '27-Sep-2017', 'SH-03', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S29', 'T04', '28-Apr-2018', 'SH-10', '5:00 PM', '11:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S30', 'T19', '23-Dec-2017', 'SH-06', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S29', 'T04', '12-Feb-2017', 'SH-06', '5:00 PM', '11:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S07', 'T14', '07-Apr-2017', 'SH-03', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S27', 'T16', '23-Jun-2017', 'SH-03', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S18', 'T18', '23-Dec-2017', 'SH-08', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S01', 'T16', '18-Jun-2019', 'SH-07', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S16', 'T16', '14-Dec-2017', 'SH-10', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S17', 'T16', '17-Jun-2019', 'SH-03', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S14', 'T19', '01-Aug-2018', 'SH-08', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S24', 'T01', '15-May-2019', 'SH-04', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S25', 'T16', '02-Aug-2017', 'SH-05', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S02', 'T14', '23-Apr-2017', 'SH-02', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S40', 'T17', '16-Jan-2019', 'SH-05', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S07', 'T13', '28-Oct-2018', 'SH-01', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S05', 'T18', '27-Jun-2019', 'SH-08', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S26', 'T17', '03-Feb-2018', 'SH-05', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S18', 'T18', '13-Jan-2019', 'SH-06', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S15', 'T04', '03-Sep-2017', 'SH-09', '5:00 PM', '11:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S20', 'T11', '29-Mar-2019', 'SH-01', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S13', 'T04', '11-Mar-2017', 'SH-09', '5:00 PM', '11:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S23', 'T18', '22-Mar-2017', 'SH-01', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S31', 'T11', '18-May-2017', 'SH-04', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S05', 'T17', '06-Feb-2019', 'SH-06', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S34', 'T04', '24-Jun-2019', 'SH-04', '5:00 PM', '11:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S21', 'T15', '17-Oct-2017', 'SH-01', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S13', 'T04', '17-Nov-2018', 'SH-09', '5:00 PM', '11:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S33', 'T02', '21-Apr-2019', 'SH-07', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S13', 'T03', '04-Mar-2017', 'SH-09', '12:00 AM', '8:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S18', 'T17', '16-Mar-2017', 'SH-04', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S19', 'T06', '12-Nov-2019', 'SH-08', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S28', 'T06', '06-Jun-2018', 'SH-08', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S06', 'T12', '04-Feb-2018', 'SH-10', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S07', 'T15', '10-Aug-2018', 'SH-08', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S10', 'T18', '04-Jul-2019', 'SH-07', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S26', 'T20', '10-Jul-2017', 'SH-09', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S15', 'T03', '16-Mar-2017', 'SH-03', '12:00 AM', '8:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S34', 'T04', '10-Sep-2017', 'SH-04', '5:00 PM', '11:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S16', 'T16', '02-Jul-2019', 'SH-04', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S18', 'T17', '27-Dec-2018', 'SH-05', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S19', 'T09', '25-Apr-2017', 'SH-01', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S26', 'T17', '01-Jul-2017', 'SH-03', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S02', 'T14', '03-Oct-2018', 'SH-10', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S36', 'T16', '28-Jul-2017', 'SH-01', '12:00 AM', '8:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S39', 'T05', '25-Oct-2019', 'SH-04', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S31', 'T11', '27-Mar-2018', 'SH-10', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S18', 'T19', '18-May-2017', 'SH-03', '12:00 AM', '11:59 PM');
